type,dropped_source,dropped_source_file,dropped_idx,kept_source,kept_source_file,kept_idx,similarity
exact,hh_txt,hh_архитектор.txt,51,hh_txt,hh_архитектор.txt,20,1.0
exact,hh_txt,hh_архитектор.txt,66,hh_txt,hh_архитектор.txt,15,1.0
exact,hh_txt,hr_консультант аналитик.txt,16,hh_txt,hr_консультант аналитик.txt,7,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,25,telegram_jsonl,tg_vacancies.jsonl,15,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,40,telegram_jsonl,tg_vacancies.jsonl,17,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,47,telegram_jsonl,tg_vacancies.jsonl,10,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,49,telegram_jsonl,tg_vacancies.jsonl,9,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,50,telegram_jsonl,tg_vacancies.jsonl,10,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,51,telegram_jsonl,tg_vacancies.jsonl,11,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,52,telegram_jsonl,tg_vacancies.jsonl,12,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,53,telegram_jsonl,tg_vacancies.jsonl,13,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,54,telegram_jsonl,tg_vacancies.jsonl,14,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,55,telegram_jsonl,tg_vacancies.jsonl,15,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,56,telegram_jsonl,tg_vacancies.jsonl,16,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,57,telegram_jsonl,tg_vacancies.jsonl,17,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,58,telegram_jsonl,tg_vacancies.jsonl,18,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,66,telegram_jsonl,tg_vacancies.jsonl,37,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,67,telegram_jsonl,tg_vacancies.jsonl,41,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,70,telegram_jsonl,tg_vacancies.jsonl,65,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,74,telegram_jsonl,tg_vacancies.jsonl,41,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,78,telegram_jsonl,tg_vacancies.jsonl,33,1.0
exact,telegram_jsonl,tg_vacancies.jsonl,79,telegram_jsonl,tg_vacancies.jsonl,34,1.0
