vacancy_id,source,source_file,idx_in_source,text_len,skills_count,grade,confidence,score_intern,score_junior,score_middle,score_senior,score_architect,config_hits,process_hits,tech_hits
0,hh_txt,hh_архитектор.txt,0,3941,18,junior,0.91,0.8,0.91,0.5,0.16,0.1,2,3,1
1,hh_txt,hh_архитектор.txt,1,2323,12,middle,1.0,0.5,0.33,1.0,0.53,0.05,1,0,4
2,hh_txt,hh_архитектор.txt,2,2635,11,intern,0.2,0.2,0.16,-0.2,-0.44,0.1,2,4,0
3,hh_txt,hh_архитектор.txt,3,3817,13,middle,0.8,0.2,0.16,0.8,0.16,0.1,2,2,2
4,hh_txt,hh_архитектор.txt,4,3595,14,intern,0.5,0.5,0.49,0.6,0.24,0.15,3,5,1
5,hh_txt,hh_архитектор.txt,5,2560,10,intern,0.5,0.5,0.33,0.4,0.08,0.05,1,4,1
6,hh_txt,hh_архитектор.txt,6,2945,14,intern,1.1,1.1,0.91,0.5,0.61,0.1,2,2,2
7,hh_txt,hh_архитектор.txt,7,1959,13,intern,0.8,0.8,0.58,0.4,0.08,0.05,1,4,1
8,hh_txt,hh_архитектор.txt,8,2100,18,senior,1.14,0.8,0.99,0.9,1.14,0.15,3,3,4
9,hh_txt,hh_архитектор.txt,9,2953,11,intern,0.2,0.2,0.24,0.3,0.24,0.15,3,2,0
10,hh_txt,hh_архитектор.txt,10,2604,15,intern,0.8,0.8,0.66,0.5,0.16,0.1,2,5,1
11,hh_txt,hh_архитектор.txt,11,2911,15,junior,0.83,0.8,0.83,0.4,0.08,0.05,1,3,1
12,hh_txt,hh_архитектор.txt,12,2611,6,intern,0.5,0.5,0.33,-0.3,-0.52,0.05,1,4,0
13,hh_txt,hh_архитектор.txt,13,2603,10,intern,0.5,0.5,0.41,0.5,0.16,0.1,2,3,1
14,hh_txt,hh_архитектор.txt,14,2345,12,intern,0.2,0.2,0.33,0.1,0.08,0.05,1,2,0
15,hh_txt,hh_архитектор.txt,15,2083,7,intern,0.5,0.5,0.33,-0.3,-0.52,0.05,1,3,0
16,hh_txt,hh_архитектор.txt,16,2357,17,junior,1.16,0.5,1.16,1.1,0.16,0.1,2,2,3
17,hh_txt,hh_архитектор.txt,17,3377,18,middle,1.3,0.8,0.83,1.3,0.08,0.05,1,4,4
18,hh_txt,hh_архитектор.txt,18,1918,9,intern,0.8,0.8,0.41,-0.2,-0.44,0.1,2,3,0
19,hh_txt,hh_архитектор.txt,20,2255,9,intern,0.2,0.2,0.08,-0.3,-0.52,0.05,1,3,0
20,hh_txt,hh_архитектор.txt,22,3713,17,junior,0.99,0.8,0.99,0.6,0.24,0.15,3,4,1
21,hh_txt,hh_архитектор.txt,23,2323,12,intern,0.5,0.5,0.41,-0.2,-0.44,0.1,2,5,0
22,hh_txt,hh_архитектор.txt,24,3274,15,intern,0.8,0.8,0.66,0.5,0.16,0.1,2,4,1
23,hh_txt,hh_архитектор.txt,25,1309,9,junior,0.83,0.8,0.83,-0.3,-0.52,0.05,1,4,0
24,hh_txt,hh_архитектор.txt,26,1612,4,intern,0.6,0.6,0.5,0.0,0.0,0.0,0,2,0
25,hh_txt,hh_архитектор.txt,27,1439,5,intern,0.3,0.3,0.5,0.3,0.0,0.0,0,2,1
26,hh_txt,hh_архитектор.txt,28,1418,8,intern,0.5,0.5,0.33,0.7,0.53,0.05,1,2,3
27,hh_txt,hh_архитектор.txt,29,2699,13,intern,0.8,0.8,0.74,-0.1,-0.36,0.15,3,4,0
28,hh_txt,hh_архитектор.txt,30,3519,11,intern,1.1,1.1,0.58,-0.3,-0.52,0.05,1,5,0
29,hh_txt,hh_архитектор.txt,31,3347,17,middle,1.2,0.5,0.49,1.2,0.24,0.15,3,4,3
30,hh_txt,hh_архитектор.txt,33,2021,12,intern,0.8,0.8,0.58,0.4,0.08,0.05,1,3,1
31,hh_txt,hh_архитектор.txt,34,1774,7,intern,0.5,0.5,0.41,-0.2,-0.44,0.1,2,3,0
32,hh_txt,hh_архитектор.txt,35,1841,7,intern,0.5,0.5,0.58,0.4,0.53,0.05,1,3,2
33,hh_txt,hh_архитектор.txt,36,2100,10,intern,0.5,0.5,0.49,-0.1,-0.36,0.15,3,4,0
34,hh_txt,hh_архитектор.txt,37,2604,20,middle,1.6,0.8,0.83,1.6,1.43,0.05,1,2,8
35,hh_txt,hh_архитектор.txt,38,3359,25,middle,2.2,0.5,0.57,2.2,1.67,0.2,4,3,9
36,hh_txt,hh_архитектор.txt,39,1738,4,intern,0.2,0.2,0.08,0.4,0.53,0.05,1,1,2
37,hh_txt,hh_архитектор.txt,40,2246,6,intern,0.8,0.8,0.66,0.2,0.61,0.1,2,2,1
38,hh_txt,hh_архитектор.txt,41,1166,6,intern,0.0,0.0,0.25,0.6,0.0,0.0,0,1,2
39,hh_txt,hh_архитектор.txt,42,2499,17,middle,2.3,0.5,1.16,2.3,1.06,0.1,2,1,9
40,hh_txt,hh_архитектор.txt,43,3215,20,middle,1.3,0.5,0.33,1.3,0.98,0.05,1,2,6
